type	latitude	longitude	altitude (m)	name
W	21.989357161	-101.000421386	2398.5	P_132
W	22.053774964	-101.075305327	2120.8	P_133
W	22.431952512	-100.905343951	1889.9	P_134
W	22.331536042	-100.878447701	1832.0	P_135
W	22.454044941	-100.776242794	2075.4	P_136
W	22.461800750	-100.863889541	1856.0	P_137
W	22.571048617	-101.032889384	1718.9	P_138
W	22.258247192	-100.951025497	1840.0	P_139
W	22.005607615	-100.862743198	1847.0	P_140
W	21.981959878	-100.832047491	1836.0	P_141
W	22.382782515	-100.955339212	1819.0	P_142
W	22.537085194	-101.097579883	1928.8	P_143
W	22.082516619	-100.988383817	2217.5	P_144
W	22.027569585	-101.135245529	2341.3	P_145
W	22.034350907	-100.913608957	1939.8	P_146
W	22.223176764	-100.935179325	1844.0	P_147
W	22.132741279	-101.105160422	2155.0	P_148
W	22.012435145	-100.898329965	1900.0	P_149
W	22.070491792	-100.920366920	2022.6	P_150
W	21.983485668	-100.994218369	2307.5	P_151
W	22.390058802	-100.994900688	1823.9	P_152
W	22.038489144	-100.950773456	2206.3	P_153
W	22.565849677	-101.045458706	1741.7	P_154
W	22.138221316	-100.996505565	1878.0	P_155
W	22.347358275	-100.915889487	1821.0	P_156
W	22.522972909	-100.983822306	1707.8	P_157
W	22.484147649	-100.933597513	1857.3	P_158
W	22.083546431	-100.911579265	1884.9	P_159
W	22.088643409	-101.017005944	2271.0	P_160
W	22.101043114	-101.048501070	2019.5	P_161
W	22.136996109	-101.084128122	2085.6	P_162
W	22.044564745	-101.032265581	2312.5	P_163
W	22.235257770	-100.974011696	1848.0	P_164
W	22.557994815	-101.087351221	1860.2	P_165
W	22.181522201	-100.966860505	1857.0	P_166
W	21.997760517	-101.044145210	2515.7	P_167
W	22.015513895	-100.956826748	2566.1	P_168
W	22.082065480	-101.030176194	2269.2	P_169
W	22.418761803	-100.884658643	1849.7	P_170
W	22.102915932	-100.984170787	2003.1	P_171
W	22.122615688	-101.078011071	2000.6	P_172
W	22.622145220	-101.019907310	1696.2	P_173
W	22.081890414	-101.118264584	2148.0	P_174
W	22.124144221	-101.119774550	2292.8	P_175
W	22.344134229	-100.921037287	1817.0	P_176
W	22.055505874	-101.011296785	2434.7	P_177
W	22.224065242	-100.985331324	1861.0	P_178
W	22.532090336	-101.054271508	1755.9	P_179
W	22.005437802	-100.924871474	1998.0	P_180
W	22.075821373	-101.042677758	2213.8	P_181
W	21.998354092	-100.945649525	2234.8	P_182
W	22.404935804	-100.853775360	1827.0	P_183
W	22.518059441	-101.055097891	1792.0	P_184
W	22.151266734	-100.984388421	1867.0	P_185
W	22.560697802	-101.075180669	1794.4	P_186
W	21.984707346	-100.983320440	2481.9	P_187
W	22.500354022	-101.047684764	1776.2	P_188
W	22.515780611	-101.015802113	1702.7	P_189
W	22.322160818	-100.956907201	1829.0	P_190
W	21.993374954	-101.009464607	2350.0	P_191
W	22.363297208	-100.945521088	1817.0	P_192
W	22.329126843	-100.884671464	1829.0	P_193
W	22.036485152	-101.026475981	2354.3	P_194
W	22.455449642	-100.799330542	2039.4	P_195
W	22.422470739	-100.896714045	1883.6	P_196
W	22.153753965	-100.961262417	1861.0	P_197
W	22.064347736	-101.096995159	2151.8	P_198
W	22.476949127	-100.971104385	1794.7	P_199
W	22.328542024	-100.947299129	1828.0	P_200
W	22.625604706	-100.944051370	1640.0	P_201
W	22.217591574	-100.974222408	1859.2	P_202
W	22.579553360	-100.943969341	1656.1	P_203
W	22.144541393	-100.967857227	1868.0	P_204
W	22.068857348	-101.135134632	2395.1	P_205
W	22.358641153	-100.932065520	1820.0	P_206
W	22.113864625	-101.035682952	2046.6	P_207
W	22.578501724	-101.017482482	1699.4	P_208
W	22.435916323	-100.822486353	1877.7	P_209
W	22.597328603	-100.940582250	1649.1	P_210
W	22.061666655	-101.101782083	2100.5	P_211
W	22.047980457	-100.892680074	1888.1	P_212
W	22.404358225	-100.821779169	1830.0	P_213
W	22.317655101	-100.876004645	1825.0	P_214
W	21.985416906	-100.834493191	1838.0	P_215
W	22.247644840	-100.971888366	1850.4	P_216
W	22.377165036	-100.930623633	1867.2	P_217
W	22.463560623	-100.970059803	1820.9	P_218
W	22.453170531	-100.941790899	1891.8	P_219
W	22.228200963	-100.972091337	1850.0	P_220
W	22.472180815	-100.807599347	1983.4	P_221
W	22.417630905	-100.985325066	1836.6	P_222
W	22.006917237	-100.792547584	1881.1	P_223
W	22.060367283	-101.056151041	2277.4	P_224
W	22.053774530	-101.014756552	2399.1	P_225
W	22.050585997	-100.894696251	1889.0	P_226
W	22.100287451	-100.939465267	1874.3	P_227
W	22.526792667	-100.990901817	1694.0	P_228
W	22.050421556	-100.923029180	2021.2	P_229
W	22.123406090	-101.129605651	2241.3	P_230
W	22.557500778	-101.108979854	1923.4	P_231
W	22.598387234	-101.006506253	1679.3	P_232
W	22.224189652	-100.979718857	1857.4	P_233
W	21.998827930	-100.884801954	1867.7	P_234
W	22.103078311	-101.084940270	2066.0	P_235
W	22.491305790	-100.973907229	1767.0	P_236
W	22.518683113	-100.914661828	1729.1	P_237
W	22.347400401	-100.904120953	1830.0	P_238
W	22.313906989	-100.976145209	1832.0	P_239
W	22.354976318	-100.940237905	1817.0	P_240
W	22.452829530	-100.922737436	1894.9	P_241
W	22.069700155	-100.993718030	2206.6	P_242
W	22.424051724	-100.960907734	1845.2	P_243
W	22.355594441	-100.915898899	1850.9	P_244
W	22.264669344	-100.984517128	1850.0	P_245
W	22.141238867	-101.083228563	2074.6	P_246
W	22.481463067	-101.013128449	1836.5	P_247
W	22.133475782	-100.999130914	1880.3	P_248
W	22.234828924	-100.990009752	1860.0	P_249
W	21.986338483	-101.042886416	2580.8	P_250
W	22.035731849	-100.961950699	2451.1	P_251
W	22.045981737	-100.932046459	2147.7	P_252
W	22.381157427	-100.949030834	1822.7	P_253
W	22.400928881	-100.832542704	1830.0	P_254
W	22.461533101	-100.799314220	2061.0	P_255
W	22.176620177	-101.036657144	1929.8	P_256
W	22.273424033	-100.985556507	1849.2	P_257
W	22.103760317	-101.032600649	2097.5	P_258
W	22.121894623	-100.994237423	1896.9	P_259
W	22.446961126	-100.950353913	1869.7	P_260
W	22.138572229	-101.083009983	2057.4	P_261
W	22.174380333	-101.040666572	1934.0	P_262
W	22.051629622	-101.085621524	2172.6	P_263
W	22.433368836	-100.970298496	1837.0	P_264
W	22.085726703	-101.102619347	2069.8	P_265
W	22.342707110	-100.952909908	1823.8	P_266
W	22.187759845	-100.999001959	1881.0	P_267
W	22.138040855	-101.024734897	1924.5	P_268
W	22.197206395	-100.984850225	1868.0	P_269
W	22.410110346	-100.939019819	1899.0	P_270
W	22.099602141	-100.903053306	1849.0	P_271
W	22.587103382	-100.955426991	1654.0	P_272
W	22.393637103	-100.984915121	1818.1	P_273
W	22.283662482	-100.951550044	1832.0	P_274
W	22.114536497	-101.090470553	2089.6	P_275
W	22.021002475	-101.014173892	2372.9	P_276
